"year","LS0A11CD","LS0A11NM","c1","c2","c3","c4","c5","c0","male","female","unknowsex","avgage","PNT_COUNT","PERCENTAGE","FREQUENCY","SUM_Field15","total_incidents"
"2020","E01003896","Richmond upon Thames 014C","6","45","16","1","5","1","40","33","1","54","9","0.007657228","4","34","74"
"2020","E01003897","Richmond upon Thames 014D","2","40","29","NULL","2","0","25","60","7","68","5","0.004254016","3","31","94"
"2020","E01003898","Richmond upon Thames 015A","4","20","6","2","5","1","14","23","0","50","7","0.005955622","4","10","38"
"2020","E01003899","Richmond upon Thames 015B","18","11","1","NULL","1","0","18","15","0","56","26","0.022120882","3","10","33"
"2020","E01003900","Richmond upon Thames 015C","3","47","20","6","2","0","35","43","0","62","3","0.002552409","4","5","78"
"2020","E01003901","Richmond upon Thames 015D","3","19","12","NULL","1","0","17","17","2","47","4","0.003403213","4","10","39"
"2020","E01003902","Richmond upon Thames 015E","1","15","1","NULL","1","0","12","8","0","64","4","0.003403213","3","8","21"
"2020","E01003903","Richmond upon Thames 015F","3","26","10","1","4","3","29","18","0","58","11","0.009358835","4","28","47"
"2020","E01003904","Richmond upon Thames 015G","2","33","5","2","NULL","0","25","16","2","60","10","0.008508032","4","4","45"
"2020","E01003905","Richmond upon Thames 010A","2","14","6","NULL","23",,"8","14","0","52","3","0.002552409","3","10",
"2020","E01003906","Richmond upon Thames 010B","3","29","17","NULL","9","2","28","29","2","64","4","0.003403213","4","22","60"
"2020","E01003907","Richmond upon Thames 010C","5","24","13","NULL","NULL","2","23","23","2","51","13","0.011060441","4","15","48"
"2020","E01003908","Richmond upon Thames 010D","4","24","16","1","NULL","1","16","30","1","65","15","0.012762047","4","15","47"
"2020","E01003909","Richmond upon Thames 010E","1","36","21","7","6","0","38","33","0","63","3","0.002552409","4","13","71"
"2020","E01003910","Richmond upon Thames 011D","1","33","5","NULL","4","1","25","19","0","69","3","0.002552409","4","14","44"
"2020","E01003911","Southwark 020A","4","33","14","1","10","1","30","32","1","47","3","0.002552409","4","16","63"
"2020","E01003912","Southwark 019A","2","19","8","1","NULL","1","9","25","0","60","8","0.006806425","4","2","35"
"2020","E01003913","Southwark 024A","9","49","19","2","4","0","23","57","3","45","1","0.000850803","4","44","83"
"2020","E01003914","Southwark 024B","3","31","17","NULL","2","0","24","31","2","52","4","0.003403213","4","17","57"
"2020","E01003915","Southwark 024C","2","27","10","8","2","0","18","30","0","53","11","0.009358835","4","16","49"
"2020","E01003916","Southwark 020B","2","40","26","NULL","8","0","24","51","0","53","17","0.014463654","3","13","77"
"2020","E01003917","Southwark 020C","6","46","37","2","13","2","67","38","0","51","17","0.014463654","4","17","106"
"2020","E01003918","Southwark 020D","2","33","16","9","60",,"28","30","1","46","9","0.007657228","3","21",
"2020","E01003919","Southwark 021A","10","30","24","3","3","1","43","27","1","45","2","0.001701606","3","21","71"
"2020","E01003920","Southwark 021B","8","49","21","NULL","6","4","42","44","2","51","6","0.005104819","4","16","88"
"2020","E01003921","Southwark 021C","15","50","33","1","14","1","57","47","9","41","1","0.000850803","4","22","114"
"2020","E01003922","Southwark 021D","8","43","20","9","4","0","42","37","4","47","5","0.004254016","4","20","84"
"2020","E01003923","Southwark 017A","5","27","10","NULL","48",,"17","29","1","53","1","0.000850803","4","15",
"2020","E01003924","Southwark 021E","6","24","9","2","NULL","0","21","23","1","38","5","0.004254016","4","16","45"
"2020","E01003925","Southwark 020E","5","39","18","1","9","3","34","38","2","44","6","0.005104819","4","16","75"
"2020","E01003926","Southwark 021F","2","37","12","1","7","0","23","33","2","46","12","0.010209638","4","17","59"
"2020","E01003927","Southwark 002A","11","69","33","6","12","4","61","71","3","41","6","0.005104819","4","37","135"
"2020","E01003929","Southwark 002B","8","58","30","1","10","0","60","44","3","41","7","0.005955622","4","34","107"
"2020","E01003930","Southwark 034A","4","25","13","NULL","45",,"20","23","2","36","42","0.035733733","3","16",
"2020","E01003932","Southwark 034B","3","34","20","1","NULL","2","45","19","2","39","54","0.045943371","3","18","67"
"2020","E01003933","Southwark 034C","10","62","67","2","35","5","74","93","14","46","107","0.091035938","3","16","181"
"2020","E01003934","Southwark 002C","8","30","26","1","11","1","46","30","1","43","5","0.004254016","4","17","77"
"2020","E01003935","Southwark 002D","5","38","22","1","NULL","1","23","48","2","55","2","0.001701606","3","17","73"
"2020","E01003936","Southwark 009A","11","15","4","1","31",,"12","19","0","32","8","0.006806425","4","13",
"2020","E01003937","Southwark 009B","4","18","12","NULL","8","1","25","16","1","38","3","0.002552409","4","23","43"
"2020","E01003938","Southwark 006A","3","26","11","NULL","41",,"30","11","0","44","3","0.002552409","4","16",
"2020","E01003939","Southwark 002E","8","29","18","2","NULL","2","30","28","3","38","3","0.002552409","4","25","62"
"2020","E01003940","Southwark 006B","3","14","15","1","NULL","1","17","20","0","54","1","0.000850803","4","15","38"
"2020","E01003941","Southwark 006C","4","30","16","1","3","2","24","30","2","43","5","0.004254016","4","16","56"
"2020","E01003942","Southwark 006D","1","28","17","NULL","2","0","24","31","0","42","2","0.001701606","3","12","55"
"2020","E01003943","Southwark 009C","2","17","18","NULL","3","0","13","26","1","44","1","0.000850803","4","19","40"
"2020","E01003945","Southwark 033A","3","32","14","1","NULL","3","22","31","1","59","8","0.006806425","4","31","55"
"2020","E01003946","Southwark 033B","1","28","10","NULL","4","NULL","19","20","0","60","14","0.011911244","4","29","43"
"2020","E01003947","Southwark 033C","3","34","12","2","4","1","31","25","0","51","38","0.03233052","4","17","56"
"2020","E01003948","Southwark 033D","3","28","22","1","NULL","2","30","26","1","54","1","0.000850803","4","32","57"
"2020","E01003949","Southwark 032A","3","21","12","1","5","0","21","21","0","51","4","0.003403213","4","25","42"
"2020","E01003950","Southwark 032B","7","25","10","2","7","3","25","27","2","50","12","0.010209638","3","18","54"
"2020","E01003951","Southwark 033E","5","26","14","3","2","0","24","26","0","58","54","0.045943371","4","22","50"
"2020","E01003952","Southwark 030A","4","23","10","1","2","0","17","22","1","51","61","0.051898993","4","16","40"
"2020","E01003953","Southwark 028A","7","38","16","1","NULL","8","34","38","3","53","8","0.006806425","4","25","75"
"2020","E01003954","Southwark 030B","25","8","NULL","5","38",,"14","23","0","50","3","0.002552409","3","17",
"2020","E01003955","Southwark 028B","30","14","2","NULL","2","0","22","26","1","53","2","0.001701606","3","17","49"
"2020","E01003956","Southwark 030C","2","16","13","NULL","32",,"10","20","0","60","18","0.015314457","3","21",
"2020","E01003957","Southwark 032C","4","17","10","5","36",,"8","27","0","63","3","0.002552409","3","29",
"2020","E01003958","Southwark 032D","3","33","17","1","NULL","1","23","38","1","55","41","0.034882929","4","16","64"
"2020","E01003960","Southwark 012A","5","34","31","2","8","2","54","27","1","47","4","0.003403213","4","18","82"
"2020","E01003961","Southwark 012B","11","74","37","4","NULL","5","88","50","3","57","12","0.010209638","4","13","141"
"2020","E01003963","Southwark 016A","3","31","20","NULL","59",,"30","28","1","40","5","0.004254016","4","11",
"2020","E01003964","Southwark 015A","6","43","29","1","7","2","42","42","4","46","1","0.000850803","4","35","88"
